page,category,video_id,reason,video_title
qa/bit-progression/bitless-bridles-how-does-it-work/index.html,bit-progression,eFJBZn_VVLU,"scattered_id(total=15,home=natural-horsemanship@53%)",Pat Parelli: Natural Horsemanship — Bitless Bridles: How They Work
qa/bit-progression/describe-the-complexity-of-how-western-curb-bits-work/index.html,bit-progression,gFRPuR4VVSA,"scattered_id(total=44,home=equipment@50%)",Al Dunning: How to Use the Snaffle Bit — The Complexity of How Western Curb Bits Work
qa/bit-progression/explain-how-to-ride-western-two-handed-with-a-snaffle-bit/index.html,bit-progression,gFRPuR4VVSA,"scattered_id(total=44,home=equipment@50%)",Al Dunning: How to Use the Snaffle Bit — The Complexity of How Western Curb Bits Work
qa/bit-progression/how-do-you-identify-and-correct-a-horse-that-leans-on-the-bit/index.html,bit-progression,BANshLvc55g,"scattered_id(total=52,home=collection@15%)",Ken McNabb: How to Ride Your Horse With Light Hands — Identifying and Correcting a Horse That Leans on the Bit
qa/bit-progression/how-do-you-introduce-a-new-bit-to-a-horse-that-has-only-known-one-type-of-bit/index.html,bit-progression,gFRPuR4VVSA,"scattered_id(total=44,home=equipment@50%)",Al Dunning: How to Use the Snaffle Bit — The Complexity of How Western Curb Bits Work
qa/bit-progression/how-do-you-ride-with-a-bosal-and-how-does-it-work/index.html,bit-progression,Hj5Ew8qkjMk,"scattered_id(total=77,home=natural-horsemanship@49%)",Warwick Schiller: Feel and Connection — How to Ride With a Bosal and How It Works
qa/bit-progression/how-do-you-ride-with-a-loose-rein-versus-a-contact-rein-in-western-performance-a/index.html,bit-progression,hCniW-BKZpo,"scattered_id(total=37,home=neck-reining@41%)",Matt Mills: Stop Fighting the Reins — Loose Rein vs. Contact Rein in Western Performance
qa/bit-progression/how-do-you-use-the-snaffle-bit-for-western-performance-horse-training/index.html,bit-progression,gFRPuR4VVSA,"scattered_id(total=44,home=equipment@50%)",Al Dunning: How to Use the Snaffle Bit — The Complexity of How Western Curb Bits Work
qa/bit-progression/how-does-a-curb-bit-work-mechanically-and-what-does-a-rider-need-to-understand-b/index.html,bit-progression,gFRPuR4VVSA,"scattered_id(total=44,home=equipment@50%)",Al Dunning: How to Use the Snaffle Bit — The Complexity of How Western Curb Bits Work
qa/bit-progression/how-does-a-snaffle-bit-work-mechanically-and-why-is-it-the-correct-starting-bit/index.html,bit-progression,gFRPuR4VVSA,"scattered_id(total=44,home=equipment@50%)",Al Dunning: How to Use the Snaffle Bit — The Complexity of How Western Curb Bits Work
qa/bit-progression/is-it-true-that-western-horses-work-without-any-pressure-from-the-bit/index.html,bit-progression,hCniW-BKZpo,"scattered_id(total=37,home=neck-reining@41%)",Matt Mills: Stop Fighting the Reins — Loose Rein vs. Contact Rein in Western Performance
qa/bit-progression/what-are-the-keys-to-using-draw-reins/index.html,bit-progression,BANshLvc55g,"scattered_id(total=52,home=collection@15%)",Ken McNabb: How to Ride Your Horse With Light Hands — Identifying and Correcting a Horse That Leans on the Bit
qa/bit-progression/what-are-the-options-in-bits-to-transition-to-from-the-snaffle-for-western-perfo/index.html,bit-progression,gFRPuR4VVSA,"scattered_id(total=44,home=equipment@50%)",Al Dunning: How to Use the Snaffle Bit — The Complexity of How Western Curb Bits Work
